indice product_name packaging additives_fr
35 Pâté-au-foie-de-canard # #
36 Terrine-caille-pruneaux-d'agen # #
37 Foie-de-canard-aux-figues Bocal,Verre #
38 Tartina-de-foie-canard-pépites-figue # #
39 Tartinade-de-foie-gras-de-canard-aux-cèpes # #
40 Foie-gras-d'oie-Périgord Conserve #
41 Foie-gras-d'oie-du-Périgord Conserve #
42 Marks-&-Spencer-Curiously-Strong-Mints metal,box E441-Gélatineanimale
43 All-Buter-Belgian-White-Chocolate-Chunk-Cookies Sachet,plastique,papier #
44 Stem-Ginger-Dunkers Carton E170-Carbonatedecalcium,E375-Acidenicotinique,E503-Carbonatesd'ammonium,E500-Carbonatesdesodium,E450-Selsmétalliquesdediphosphates
45 M&S-Chicken-Penang # #
46 M&S-Chicken-pas-thaï # #
47 Reduced-Fat-Mayonnaise # #
48 Carrot-&-Coriander-soup # #
49 Large-flat-mushrooms plastic,film #
50 Apple-Pear-&-Asparagus # #
51 Giant-cookies-triple-belgian-chocolate # #
52 M&S-Lemon-&-Parmesan-Chicken-Tenders packets #
53 Scottish-shortbread # #
54 Pizza-Parlanno Box #
55 Honey-roast-ham Barquette,plastique E470-Selsdesodium/potassium/calciumd'acidesgras
56 Infusion-du-soir-decontractante-Tailleur-de-pierre- # #
57 British-self-raising-flour # #
58 Pineapple,-cucumber,-celery,-jalapeno-+-Kale # #
59 Super-chicken-spinach-&-quinoa # #
60 Pur-Soup'-Velouté-de-légumes Brique,Carton E160a-Bêta-carotène
61 Sparkling-British-Elderflower-Presse # #
62 British-Rhubarb-Presse-With-Ginger # #
63 British-Beef-Braising-Steak tray-plastic,film-plastic #
64 Mac-'n-Cheese box E375-Acidenicotinique,E101-Riboflavine,E509-Chloruredecalcium
65 2-yellowfin-tuna-steaks # #
66 Yellow-Mustard # E100-Curcumine
67 tree-ripened-papaya label-plastic #
68 pressed-British-pear-and-blackcurrant-juice # #
69 - # #
70 British-plain-flour bag-paper E170-Carbonatedecalcium,E375-Acidenicotinique
71 Pineapple-slices-in-juice Can,metal #
72 Baguette Fresh #
73 Vanilla-Nonfat-Yogurt # #
74 Sunflower-oil Bottle,Plastic #
75 Pineapple-Salsa Glass #
76 Rollmop-Herrings Plastique E334-AcideL-tartrique
77 Creamy-Chicken-Pie # #
78 Sauce-bolognaise pot #
79 Broccoli Plastic,wrap #
80 Tortellini plastic #
81 Hello-Panda # #
82 Balsamic-vinegar-of-Modena Bouteille E150d-Caramelausulfited'ammonium,E224-Disulfitedepotassium
83 100-pure-vermont-organic-maple-syrup # #
84 prunes # #
85 British-plain-flour Bag,Paper E170-Carbonatedecalcium,E375-Acidenicotinique
86 Pulled-Pork-&-Chorizo-Feijoada Plastique,Carton E252-Nitratedepotassium,E250-Nitritedesodium,E160c-Extraitdepaprika,E301-Ascorbatedesodium,E441-Gélatineanimale
87 sharon's-sorbet-mango # #
88 Spaghetti-sauce-with-mushrooms # #
89 Rainbow-Cherry Plastic E330-Acidecitrique,E129-RougealluraAC,E102-Tartrazine,E110-JauneorangéS,E133-BleubrillantFCF
90 100%-desert-mesquite-honey # #
