in out weight
31 77 0.0222222222222
15 65 0.037037037037
14 62 0.0222222222222
1 27 0.0222222222222
68 85 0.037037037037
51 55 0.0222222222222
5 31 0.0222222222222
9 84 0.037037037037
30 41 0.0222222222222
15 74 0.037037037037
0 76 0.0222222222222
24 66 0.0625
29 50 0.0222222222222
13 32 0.0222222222222
38 40 0.0222222222222
3 86 0.0222222222222
64 88 0.0625
1 28 0.0222222222222
21 81 0.0625
43 76 0.0222222222222
44 86 0.0222222222222
51 60 0.0222222222222
27 39 0.0222222222222
55 56 0.0222222222222
24 73 0.0625
6 41 0.0222222222222
49 71 0.037037037037
31 51 0.0222222222222
65 71 0.037037037037
28 77 0.0222222222222
11 15 0.037037037037
21 90 0.0625
43 69 0.0222222222222
44 77 0.0222222222222
46 82 0.0222222222222
47 64 0.0625
27 60 0.0222222222222
27 59 0.0222222222222
34 46 0.0222222222222
3 55 0.0222222222222
24 80 0.0625
25 70 0.037037037037
6 32 0.0222222222222
13 82 0.0222222222222
40 48 0.0222222222222
43 45 0.0222222222222
47 73 0.0625
19 53 0.037037037037
2 7 0.0222222222222
9 79 0.037037037037
20 28 0.0222222222222
3 60 0.0222222222222
24 87 0.0625
25 79 0.037037037037
6 27 0.0222222222222
28 44 0.0222222222222
31 33 0.0222222222222
40 55 0.0222222222222
3 77 0.0222222222222
7 56 0.0222222222222
15 57 0.037037037037
2 30 0.0222222222222
24 47 0.0625
0 40 0.0222222222222
19 26 0.037037037037
20 27 0.0222222222222
3 37 0.0222222222222
28 43 0.0222222222222
32 46 0.0222222222222
31 46 0.0222222222222
35 43 0.0222222222222
40 62 0.0222222222222
63 84 0.037037037037
38 39 0.0222222222222
14 29 0.0222222222222
12 19 0.037037037037
56 77 0.0222222222222
19 67 0.037037037037
41 82 0.0222222222222
24 54 0.0625
52 57 0.037037037037
56 60 0.0222222222222
20 34 0.0222222222222
3 42 0.0222222222222
28 34 0.0222222222222
32 37 0.0222222222222
8 14 0.0222222222222
7 46 0.0222222222222
19 72 0.037037037037
24 61 0.0625
0 38 0.0222222222222
20 41 0.0222222222222
32 60 0.0222222222222
40 44 0.0222222222222
39 76 0.0222222222222
7 39 0.0222222222222
29 86 0.0222222222222
36 56 0.0222222222222
41 51 0.0222222222222
9 26 0.037037037037
42 82 0.0222222222222
13 30 0.0222222222222
20 48 0.0222222222222
6 7 0.0222222222222
28 48 0.0222222222222
84 85 0.037037037037
32 51 0.0222222222222
39 69 0.0222222222222
4 57 0.037037037037
8 60 0.0222222222222
7 28 0.0222222222222
63 67 0.037037037037
36 39 0.0222222222222
17 76 0.0222222222222
41 69 0.0222222222222
60 62 0.0222222222222
9 74 0.037037037037
34 41 0.0222222222222
60 86 0.0222222222222
1 43 0.0222222222222
21 24 0.0625
8 35 0.0222222222222
63 72 0.037037037037
29 40 0.0222222222222
33 45 0.0222222222222
36 46 0.0222222222222
26 68 0.037037037037
12 55 0.037037037037
15 26 0.037037037037
42 68 0.037037037037
67 84 0.037037037037
54 73 0.0625
3 6 0.0222222222222
25 53 0.037037037037
1 44 0.0222222222222
57 63 0.037037037037
8 42 0.0222222222222
29 33 0.0222222222222
33 38 0.0222222222222
