product_name countries fat_100g proteins_100g carbohydrates_100g nutrition-score-fr_100g salt_100g fiber_100g
Huile-d'olive-vierge-extra- France 91 0 0 11 0 0
Sel-fin-iodé---sel-de-mer France 0 0 0 10 100 0
20-sucettes France 0 0 97 14 0 0
Flûtes-au-fromage- France 27 12 51 20 2 3
Flûtes-tomate-olive-origan France 20 10 61 18 2 4
Coeur-de-Tournesol France 100 0 0 11 0 0
isio-4 France 100 0 0 10 0 0
Lessieur---Coeur-de-Tournesol France 100 0 0 11 0 0
Fleur-de-Colza France 100 0 0 10 0 0
Huile-d'olive-vierge-extra France 100 0 0 11 0 0
Duo-Huile-&-Beurre France 100 0 0 11 0 0
Isio-4 France 100 0 0 10 0 0
Isio-4-Touche-d'Olive France 100 0 0 10 0 0
Fleur-de-colza France 100 0 0 10 0 0
Isio-4-Mini France 100 0 0 10 0 0
Frial France 100 0 0 11 0 0
Frial France 100 0 0 11 0 0
Huile-isio-4 France 100 0 0 10 0 0
Duo-Huile-&-Beurre France 100 0 0 11 0 0
Huile-d'olive-vierge-extra France 100 0 0 12 0 0
Sirop-de-cassis-Carrefour France 0 0 81 20 0 0
Couscous,-Grain-Moyen France 2 12 72 -5 0 3
Huile-de-tournesol---1-litre France 92 0 0 11 0 0
Sirop-de-menthe France 0 0 71 20 0 0
Sirop-de-grenadine France 0 0 77 20 0 0
Huile-vierge-de-tournesol-bio France 92 0 0 11 0 0
Vinaigre-de-cidre-Bio-Carrefour France 0 0 1 0 0 0
Torsades-semi-complètes-Bio France 2 11 75 -6 0 4
Préparation-à-l'huile-de-thym,-romarin-et-laurier-spéciale-fondue-Carrefour France 92 0 0 11 0 0
Huile-vierge-de-tournesol-biologique- France 100 0 0 11 0 0
Pétale-de-maïs-nature France 1 8 80 -4 0 4
Huile-de-Tournesol-Vierge-Bio-Cauvin France 100 0 0 11 0 0
Huile-vierge-spéciale-cuisson-Olive-&-Tournesol France 100 0 0 11 0 0
Huile-vierge-Spécial-Assaisonnement-Olive-&-Colza France 100 0 0 11 0 0
Association-de-4-huiles-vierges-100%-Bio France 100 0 0 10 0 0
Huile-d'olive-vierge-extra France 100 0 0 12 0 0
Huile-d'Argan-grillé-Bio-Cauvin France 100 0 0 12 0 0
Huile-de-Noix-Bio-Cauvin France 100 0 0 11 0 0
Purée-de-pommes-sans-sucres-ajoutés France 0 0 10 -5 0 2
Huile-4-Graines France 100 0 0 10 0 0
Huile-de-pépins-de-raisin France 100 0 0 6 0 0
Dessert-de-pomme-sans-colorant-ni-conservateur France 0 0 19 -3 0 2
Fructose-pur-cristallisé-Monoprix France 0 0 100 15 0 0
Sardines-Millésime-2014-préparées-à-l'ancienne France 14 22 0 4 1 0
Files-de-thon-blanc-à-l'huile-d'olive France 27 23 0 13 1 0
Pousses-de-Bambou-entières-au-naturel France 0 1 2 -1 0 1
Pâte-feuilletée-épaisse France 18 6 39 17 1 1
Chocolat-noir France 37 5 42 19 0 11
Chocolat-Noir-Spécial-Pâtisserie France 37 5 42 19 0 11
Huile-vierge-de-tournesol France 92 0 0 11 0 0
Huile-d'olive-corsée-extra-vierge-classic France 90 0 0 11 0 0
Huile-de-sésame-vierge France 100 0 0 12 0 0
Jambon-de-Bayonne France 15 27 1 18 5 0
Huile-de-tournesol France 92 0 0 11 0 0
Huile-de-tournesol France 92 0 0 11 0 0
Sucre-en-poudre France 0 0 100 15 0 0
Morceau-de-thon-listao France 1 25 0 0 1 0
Sucre-en-poudre France 0 0 100 15 0 0
Marrons-Glacés,-morceaux France 1 1 80 9 0 3
Marrons-glacés-morceaux France 1 1 80 10 0 3
vinaigre-de-vin-rouge France 0 0 0 0 0 0
Limonade-Zero-Lorina France 0 0 0 1 0 0
100%-Fruits-Mangue France 0 0 11 5 0 0
Étoiles-et-Lunes-(&quot;al-dente&quot;-11-mn) France 2 13 72 -5 0 3
Confiture-de-pêche France 0 0 60 11 0 1
Huile-végétale-pour-friture Guadeloupe 92 0 0 10 0 0
Huile-de-tournesol France 92 0 0 11 0 0
Cranberry France 0 0 12 15 0 0
Sucre-de-Canne-Carrefour-Discount France 0 0 99 15 0 0
Sirop-de-pêche France 0 0 79 20 0 0
Huile-de-noix-riche-en-oméga-3-Carrefour France 92 0 0 10 0 0
Ananas France 0 0 59 11 0 1
Huile-d'olive-vierge-extra-Bio-Carrefour France 92 0 0 11 0 0
72%-Cacao-Noir France 46 8 33 18 0 10
Penne-au-blé-complet France 2 13 70 -6 0 6
Fusilli-au-blé-complet France 2 13 70 -6 0 6
Confiture-de-fraise-de-Dordogne France 0 0 59 10 0 1
Filet-de-harengs-doux-fumé-au-bois-de-hetre- France 12 16 0 15 5 0
Huile-d'arachide France 92 0 0 12 0 0
Huile-de-tournesol France 92 0 0 11 0 0
Douceur-du-Verger---Pomme-Poire France 0 0 12 -5 0 2
Douceur-du-Verger---Pomme France 0 0 12 -5 0 2
Lemon-Lime France 0 0 8 10 0 0
Huile-spéciale-fondue-aux-aromates France 92 0 0 11 0 0
Nectar-passion France 0 0 14 17 0 0
Cassonade-pure-canne France 0 0 99 15 0 0
Huile-d'olive-vierge-extra France 91 0 0 12 0 0
Pur-jus-d'orange-Bio France 0 0 13 6 0 0
Mini-Chewies-(Fraise) France 0 0 80 14 0 0
Huile-de-noix France 100 0 0 11 0 0
Spaghetti-Bio France 2 11 70 -5 0 3
Huile-de-noix France 100 0 0 11 0 0
Huile-d'olive-douce France 100 0 0 11 0 0
Huile-d'olive-vierge-extra-fruitée-Auchan France 100 0 0 11 0 0
Sucre-Glace France 0 0 100 15 0 0
Oats France 8 11 60 -5 0 9
Limonade France 0 0 3 4 0 0
Jambon-cuit-supérieur-avec-couenne France 8 20 1 12 2 0
Jambon-cuit-supérieur France 3 20 1 5 2 0
Jambon-cuit-supérieur-avec-couenne France 8 20 1 12 2 0
Jambon-cuit-supérieur-avec-couenne France 8 20 1 12 2 0
Huile-d'Olive,-vierge-extra France 100 0 0 11 0 0
Huile-de-colza France 100 0 0 10 0 0
100%-Cacao France 52 14 13 12 0 17
Eau-de-fleur-d'oranger France 0 0 0 0 0 0
L'authentique France 0 0 23 5 0 0
Fränkisch-Vollkorn Deutschland 1 5 36 -2 1 9
