indice product_name packaging additives_fr nutrition-score-fr_100g
139 British-Blend-Premium-Black-Tea Box # #
140 6-Christmas-deep-mince-pies card,carton,metal,foil,plastic,tray E220-Anhydridesulfureux,E201-Sorbatedesodium,E422-Glycérol,E330-Acidecitrique,E170-Carbonatedecalcium,E375-Acidenicotinique,E260-Acideacétique,E502-Carbonates,E450i-Pyrophosphatedesodiumacide,E500ii-Hydrogénocarbonatedesodium 15
141 Sauce-aux-piments bouteille # #
142 TABASCO-Green-Jalapeño # # #
143 Belvita-petit-déjeuner- # # #
144 Tabasco-Pepper-Sauce glassbottle # #
145 Tabasco # # #
146 Tabasco-Original # # #
147 Salsa-de-chiles-picantes-&quot;Tabasco&quot; Botelladevidrio,Cajadecartón # #
148 Tabasco-Green-Pepper-Sauce # E14XX-Amidonsmodifiés,E300-Acideascorbique 9
149 8-Hamburger-Buns Plastic,Bag E375-Acidenicotinique,E101-Riboflavine,E282-Propionatedecalcium,E516-Sulfatedecalcium,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E330-Acidecitrique,E917-Iodatedepotassium,E322-Lécithines 1
150 British-petit-pois # # #
151 Ma-sauce-fromage-blanc-&-moutarde-de-Dijon # # #
152 Greek-Yogurt:-honey # # #
153 ratatouille-provençale can-metal,label-paper # -1
154 Fruit-&-Nut-Granola plastic,resealable # 8
155 Extra-light-soft-cheese # # 0
156 Tims-extra-thick-and-crunchy-jalapeno-potato-chips Bag E621-Glutamatemonosodique 3
157 Hawaiian-kettle-style-potato-chips---Luan-BBQ # # 12
158 Original-Kettle-Style-Potato-Chips Bag # 13
159 British-marrowfat-processed-peas-in-water---sugar-and-salt-added # # #
160 Breast-fillets # # #
161 Intensely-Fruity-Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E163-Anthocyanes,E330-Acidecitrique,E422-Glycérol,E471-Mono-etdiglycéridesd'acidesgrasalimentaires,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E300-Acideascorbique 11
162 Intensely-Fruity-Christmas-Pudding plastic,bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E163-Anthocyanes,E330-Acidecitrique,E422-Glycérol,E471-Mono-etdiglycéridesd'acidesgrasalimentaires,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E300-Acideascorbique 11
163 Intensely-Fruity-Christmas-Pudding Plastic,Bowl E170-Carbonatedecalcium,E375-Acidenicotinique,E163-Anthocyanes,E330-Acidecitrique,E422-Glycérol,E471-Mono-etdiglycéridesd'acidesgrasalimentaires,E472e-EsterMonoacéthyltartriquedemono-etdiglycéridesd'acidesgras,E300-Acideascorbique 11
164 Honey-Soy-Drink plasticbottle # 0
165 Swiss-Dark-Chocolate Carton,Card # 17
166 Reduced-fat-belgian-chocolate-chunk-cookies # E170-Carbonatedecalcium,E375-Acidenicotinique,E322-Lécithines,E450-Selsmétalliquesdediphosphates,E500-Carbonatesdesodium,E503-Carbonatesd'ammonium 24
167 conference-pears # # #
168 Red-Cabbage-braised-with-Bramley-apples packets # #
169 Cultured-butter,-European-style # # #
170 Creamy-salted-Peanut-Butter # # #
171 عصيرغازي # # #
172 Water # # #
173 7up # # #
174 Pepsi-Max plasticbottle E150a-CaramelE150a,E338-Acideorthophosphorique,E951-Aspartame,E211-Benzoatedesodium,E950-AcésulfameK,E330-Acidecitrique,E385-Éthylènediaminetétra-acétatedecalciumdisodium 3
175 Citrus-Green-Tea plasticbottle E330-Acidecitrique,E300-Acideascorbique,E201-Sorbatedesodium,E338-Acideorthophosphorique,E950-AcésulfameK,E385-Éthylènediaminetétra-acétatedecalciumdisodium 5
176 Brisk-Iced-Tea-Lemon # # #
